Rank,ASN,AS Name,CC,Users (est.),% of country,% of Internet,Samples
1,"AS55836","RELIANCEJIO-IN Reliance Jio Infocomm Limited","<a href=\"/cgi-bin/aspop?c=IN\">IN</a>",280641748,48.39,6.7925,34342468
2,"AS4134","CHINANET-BACKBONE No.31,Jin-rong Street","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",266250984,32.37,6.4442,2476842
3,"AS4837","CHINA169-BACKBONE CHINA UNICOM China169 Backbone","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",159249529,19.36,3.8544,1481444
4,"AS45609","BHARTI-MOBILITY-AS-AP Bharti Airtel Ltd. AS for GPRS Service","<a href=\"/cgi-bin/aspop?c=IN\">IN</a>",152908051,26.37,3.7009,18711542
5,"AS9808","CMNET-GD Guangdong Mobile Communication Co.Ltd.","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",89068194,10.83,2.1558,828571
6,"AS197207","MCCI-AS","<a href=\"/cgi-bin/aspop?c=IR\">IR</a>",57866170,94.60,1.4006,452656
7,"AS7922","COMCAST-7922","<a href=\"/cgi-bin/aspop?c=US\">US</a>",46632169,18.65,1.1287,7852519
8,"AS4812","CHINANET-SH-AP China Telecom (Group)","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",45455822,5.53,1.1002,422860
9,"AS4808","CHINA169-BJ China Unicom Beijing Province Network","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",38363871,4.66,0.9285,356886
10,"AS38266","VODAFONE-IN Vodafone India Ltd.","<a href=\"/cgi-bin/aspop?c=IN\">IN</a>",37004760,6.38,0.8956,4528317
11,"AS7713","TELKOMNET-AS-AP PT Telekomunikasi Indonesia","<a href=\"/cgi-bin/aspop?c=ID\">ID</a>",36414537,31.83,0.8814,8691201
12,"AS8151","Uninet S.A. de C.V.","<a href=\"/cgi-bin/aspop?c=MX\">MX</a>",35656033,39.52,0.8630,4757035
13,"AS8452","TE-AS TE-AS","<a href=\"/cgi-bin/aspop?c=EG\">EG</a>",35263706,67.39,0.8535,6905799
14,"AS29465","VCG-AS","<a href=\"/cgi-bin/aspop?c=NG\">NG</a>",31918275,50.60,0.7725,2003865
15,"AS45271","ICLNET-AS-AP Idea Cellular Limited","<a href=\"/cgi-bin/aspop?c=IN\">IN</a>",30391774,5.24,0.7356,3719078
16,"AS56040","CMNET-GUANGDONG-AP China Mobile communications corporation","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",27810329,3.38,0.6731,258710
17,"AS24757","EthioNet-AS","<a href=\"/cgi-bin/aspop?c=ET\">ET</a>",26443932,99.99,0.6400,235230
18,"AS9299","IPG-AS-AP Philippine Long Distance Telephone Company","<a href=\"/cgi-bin/aspop?c=PH\">PH</a>",24635810,33.94,0.5963,2651988
19,"AS2516","KDDI KDDI CORPORATION","<a href=\"/cgi-bin/aspop?c=JP\">JP</a>",23864800,21.08,0.5776,1967281
20,"AS23693","TELKOMSEL-ASN-ID PT. Telekomunikasi Selular","<a href=\"/cgi-bin/aspop?c=ID\">ID</a>",23723625,20.73,0.5742,5662211
21,"AS3320","DTAG Internet service provider operations","<a href=\"/cgi-bin/aspop?c=DE\">DE</a>",23440911,33.15,0.5673,1871382
22,"AS56046","CMNET-JIANGSU-AP China Mobile communications corporation","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",22065735,2.68,0.5341,205270
23,"AS7018","ATT-INTERNET4","<a href=\"/cgi-bin/aspop?c=US\">US</a>",21921514,8.77,0.5306,3691424
24,"AS28573","CLARO S.A.","<a href=\"/cgi-bin/aspop?c=BR\">BR</a>",21348632,13.16,0.5167,3012299
25,"AS17676","GIGAINFRA Softbank BB Corp.","<a href=\"/cgi-bin/aspop?c=JP\">JP</a>",21101707,18.64,0.5107,1739507
26,"AS7552","VIETEL-AS-AP Viettel Group","<a href=\"/cgi-bin/aspop?c=VN\">VN</a>",20647256,38.76,0.4997,3138278
27,"AS4766","KIXS-AS-KR Korea Telecom","<a href=\"/cgi-bin/aspop?c=KR\">KR</a>",19901453,39.10,0.4817,2906717
28,"AS12389","ROSTELECOM-AS","<a href=\"/cgi-bin/aspop?c=RU\">RU</a>",19396689,16.43,0.4695,2936389
29,"AS45899","VNPT-AS-VN VNPT Corp","<a href=\"/cgi-bin/aspop?c=VN\">VN</a>",18366483,34.48,0.4445,2791612
30,"AS3215","France Telecom - Orange","<a href=\"/cgi-bin/aspop?c=FR\">FR</a>",17704661,32.85,0.4285,2196973
31,"AS50710","EARTHLINK-AS","<a href=\"/cgi-bin/aspop?c=IQ\">IQ</a>",17493896,52.36,0.4234,2805161
32,"AS21928","T-MOBILE-AS21928","<a href=\"/cgi-bin/aspop?c=US\">US</a>",17154361,6.86,0.4152,2888670
33,"AS36873","VNL1-AS","<a href=\"/cgi-bin/aspop?c=NG\">NG</a>",16389657,25.98,0.3967,1028961
34,"AS36903","MT-MPLS","<a href=\"/cgi-bin/aspop?c=MA\">MA</a>",16321803,66.63,0.3950,2108293
35,"AS4713","OCN NTT Communications Corporation","<a href=\"/cgi-bin/aspop?c=JP\">JP</a>",15397378,13.60,0.3727,1269274
36,"AS134773","CHINANET-GUANGDONG-GUANGZHOU-MAN CHINANET Guangdong province Guangzhou MAN network","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",14990338,1.82,0.3628,139450
37,"AS132199","GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.","<a href=\"/cgi-bin/aspop?c=PH\">PH</a>",13958172,19.23,0.3378,1502565
38,"AS4761","INDOSAT-INP-AP INDOSAT Internet Network Provider","<a href=\"/cgi-bin/aspop?c=ID\">ID</a>",13729320,12.00,0.3323,3276831
39,"AS5607","BSKYB-BROADBAND-AS","<a href=\"/cgi-bin/aspop?c=GB\">GB</a>",13432312,20.60,0.3251,1235364
40,"AS3209","VODANET International IP-Backbone of Vodafone","<a href=\"/cgi-bin/aspop?c=DE\">DE</a>",13275269,18.77,0.3213,1059818
41,"AS5089","NTL","<a href=\"/cgi-bin/aspop?c=GB\">GB</a>",13096603,20.09,0.3170,1204489
42,"AS9829","BSNL-NIB National Internet Backbone","<a href=\"/cgi-bin/aspop?c=IN\">IN</a>",12998875,2.24,0.3146,1590688
43,"AS701","UUNET","<a href=\"/cgi-bin/aspop?c=US\">US</a>",12632759,5.05,0.3058,2127265
44,"AS3352","TELEFONICA_DE_ESPANA","<a href=\"/cgi-bin/aspop?c=ES\">ES</a>",12474538,29.61,0.3019,1931494
45,"AS2856","BT-UK-AS BTnet UK Regional network","<a href=\"/cgi-bin/aspop?c=GB\">GB</a>",12359174,18.95,0.2991,1136668
46,"AS24400","CMNET-V4SHANGHAI-AS-AP Shanghai Mobile Communications Co.,Ltd.","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",11679241,1.42,0.2827,108648
47,"AS22394","CELLCO","<a href=\"/cgi-bin/aspop?c=US\">US</a>",11665722,4.67,0.2824,1964423
48,"AS39891","ALJAWWALSTC-AS","<a href=\"/cgi-bin/aspop?c=SA\">SA</a>",11623003,35.87,0.2813,1460709
49,"AS17639","CONVERGE-AS Converge ICT Solutions Inc.","<a href=\"/cgi-bin/aspop?c=PH\">PH</a>",11572919,15.95,0.2801,1245798
50,"AS8359","MTS","<a href=\"/cgi-bin/aspop?c=RU\">RU</a>",11562244,9.79,0.2798,1750363
51,"AS9318","SKB-AS SK Broadband Co Ltd","<a href=\"/cgi-bin/aspop?c=KR\">KR</a>",11355819,22.31,0.2748,1658580
52,"AS20115","CHARTER-20115","<a href=\"/cgi-bin/aspop?c=US\">US</a>",11307411,4.52,0.2737,1904086
53,"AS20057","ATT-MOBILITY-LLC-AS20057","<a href=\"/cgi-bin/aspop?c=US\">US</a>",11278253,4.51,0.2730,1899176
54,"AS36947","ALGTEL-AS","<a href=\"/cgi-bin/aspop?c=DZ\">DZ</a>",11204311,45.90,0.2712,3618797
55,"AS16135","TURKCELL-AS Turkcell A.S.","<a href=\"/cgi-bin/aspop?c=TR\">TR</a>",11189462,17.83,0.2708,3507002
56,"AS17816","CHINA169-GZ China Unicom IP network China169 Guangdong province","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",11086723,1.35,0.2683,103136
57,"AS24203","NAPXLNET-AS-ID PT XL Axiata","<a href=\"/cgi-bin/aspop?c=ID\">ID</a>",10964997,9.58,0.2654,2617059
58,"AS13999","Mega Cable, S.A. de C.V.","<a href=\"/cgi-bin/aspop?c=MX\">MX</a>",10680946,11.84,0.2585,1424994
59,"AS47331","TTNET","<a href=\"/cgi-bin/aspop?c=TR\">TR</a>",10230111,16.30,0.2476,3206322
60,"AS8048","CANTV Servicios, Venezuela","<a href=\"/cgi-bin/aspop?c=VE\">VE</a>",10081185,51.31,0.2440,1286902
61,"AS16345","BEE-AS Russia","<a href=\"/cgi-bin/aspop?c=RU\">RU</a>",10047494,8.51,0.2432,1521051
62,"AS24444","CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",9984672,1.21,0.2417,92884
63,"AS37148","globacom-as","<a href=\"/cgi-bin/aspop?c=NG\">NG</a>",9590956,15.21,0.2321,602131
64,"AS4788","TMNET-AS-AP TM Net, Internet Service Provider","<a href=\"/cgi-bin/aspop?c=MY\">MY</a>",9548834,34.37,0.2311,2090281
65,"AS15897","VODAFONETURKEY","<a href=\"/cgi-bin/aspop?c=TR\">TR</a>",9469474,15.09,0.2292,2967923
66,"AS6147","Telefonica del Peru S.A.A.","<a href=\"/cgi-bin/aspop?c=PE\">PE</a>",9300119,51.44,0.2251,1646498
67,"AS12479","UNI2-AS","<a href=\"/cgi-bin/aspop?c=ES\">ES</a>",9288312,22.04,0.2248,1438155
68,"AS56048","CMNET-BEIJING-AP China Mobile Communicaitons Corporation","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",9167486,1.11,0.2219,85282
69,"AS24445","CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",9142870,1.11,0.2213,85053
70,"AS9605","DOCOMO NTT DOCOMO, INC.","<a href=\"/cgi-bin/aspop?c=JP\">JP</a>",9135188,8.07,0.2211,753054
71,"AS1221","ASN-TELSTRA Telstra Corporation Ltd","<a href=\"/cgi-bin/aspop?c=AU\">AU</a>",9113692,40.82,0.2206,641810
72,"AS7738","Telemar Norte Leste S.A.","<a href=\"/cgi-bin/aspop?c=BR\">BR</a>",9100637,5.61,0.2203,1284103
73,"AS17072","TOTAL PLAY TELECOMUNICACIONES SA DE CV","<a href=\"/cgi-bin/aspop?c=MX\">MX</a>",9078999,10.06,0.2197,1211271
74,"AS10620","Telmex Colombia S.A.","<a href=\"/cgi-bin/aspop?c=CO\">CO</a>",9047843,26.07,0.2190,1767749
75,"AS24560","AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services","<a href=\"/cgi-bin/aspop?c=IN\">IN</a>",9021746,1.56,0.2184,1104002
76,"AS22773","ASN-CXA-ALL-CCI-22773-RDC","<a href=\"/cgi-bin/aspop?c=US\">US</a>",8971663,3.59,0.2171,1510763
77,"AS15557","LDCOMNET","<a href=\"/cgi-bin/aspop?c=FR\">FR</a>",8817158,16.36,0.2134,1094122
78,"AS12322","PROXAD","<a href=\"/cgi-bin/aspop?c=FR\">FR</a>",8800251,16.33,0.2130,1092024
79,"AS34984","TELLCOM-AS","<a href=\"/cgi-bin/aspop?c=TR\">TR</a>",8733187,13.92,0.2114,2737156
80,"AS3269","ASN-IBSNAZ","<a href=\"/cgi-bin/aspop?c=IT\">IT</a>",8720186,22.86,0.2111,1765427
81,"AS131445","AIS3G-2100-AS-AP Advance Wireless Network","<a href=\"/cgi-bin/aspop?c=TH\">TH</a>",8612264,19.43,0.2084,1061581
82,"AS17557","PKTELECOM-AS-PK Pakistan Telecommunication Company Limited","<a href=\"/cgi-bin/aspop?c=PK\">PK</a>",8594101,23.82,0.2080,1954396
83,"AS18403","FPT-AS-AP The Corporation for Financing & Promoting Technology","<a href=\"/cgi-bin/aspop?c=VN\">VN</a>",8583089,16.11,0.2077,1304586
84,"AS30986","SCANCOM","<a href=\"/cgi-bin/aspop?c=GH\">GH</a>",8523491,63.34,0.2063,1357479
85,"AS30873","PTC-YEMENNET","<a href=\"/cgi-bin/aspop?c=YE\">YE</a>",8508228,97.29,0.2059,366402
86,"AS45727","THREE-AS-ID Hutchison CP Telecommunications, PT","<a href=\"/cgi-bin/aspop?c=ID\">ID</a>",8461925,7.40,0.2048,2019641
87,"AS56047","CMNET-HUNAN-AP China Mobile communications corporation","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",8388247,1.02,0.2030,78033
88,"AS26599","TELEFONICA BRASIL S.A","<a href=\"/cgi-bin/aspop?c=BR\">BR</a>",8373687,5.16,0.2027,1181530
89,"AS25019","SAUDINETSTC-AS","<a href=\"/cgi-bin/aspop?c=SA\">SA</a>",8182991,25.25,0.1981,1028389
90,"AS17621","CNCGROUP-SH China Unicom Shanghai network","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",8182822,0.99,0.1981,76122
91,"AS17552","TRUE-AS-AP True Internet Co.,Ltd.","<a href=\"/cgi-bin/aspop?c=TH\">TH</a>",8165507,18.43,0.1976,1006512
92,"AS24389","GRAMEENPHONE-AS-AP GrameenPhone Ltd.","<a href=\"/cgi-bin/aspop?c=BD\">BD</a>",8164671,24.78,0.1976,2457712
93,"AS1267","ASN-WINDTRE IUNET","<a href=\"/cgi-bin/aspop?c=IT\">IT</a>",8163252,21.40,0.1976,1652674
94,"AS4775","GLOBE-TELECOM-AS Globe Telecoms","<a href=\"/cgi-bin/aspop?c=PH\">PH</a>",7934002,10.93,0.1920,854077
95,"AS30722","VODAFONE-IT-ASN","<a href=\"/cgi-bin/aspop?c=IT\">IT</a>",7929854,20.79,0.1919,1605422
96,"AS5384","EMIRATES-INTERNET Emirates Internet","<a href=\"/cgi-bin/aspop?c=AE\">AE</a>",7877702,80.02,0.1907,805065
97,"AS10139","SMARTBRO-PH-AP Smart Broadband, Inc.","<a href=\"/cgi-bin/aspop?c=PH\">PH</a>",7756729,10.69,0.1877,834994
98,"AS5617","TPNET","<a href=\"/cgi-bin/aspop?c=PL\">PL</a>",7579543,24.43,0.1835,1308565
99,"AS24547","CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",7535910,0.92,0.1824,70104
100,"AS3462","HINET Data Communication Business Group","<a href=\"/cgi-bin/aspop?c=TW\">TW</a>",7395801,28.66,0.1790,1623165
101,"AS7303","Telecom Argentina S.A.","<a href=\"/cgi-bin/aspop?c=AR\">AR</a>",7328264,19.58,0.1774,1682818
102,"AS8193","BRM-AS","<a href=\"/cgi-bin/aspop?c=UZ\">UZ</a>",7312433,36.02,0.1770,513940
103,"AS35819","MOBILY-AS Etihad Etisalat Company (Mobily)","<a href=\"/cgi-bin/aspop?c=SA\">SA</a>",7307559,22.55,0.1769,918370
104,"AS5410","BOUYGTEL-ISP","<a href=\"/cgi-bin/aspop?c=FR\">FR</a>",7298310,13.54,0.1766,905648
105,"AS17858","POWERVIS-AS-KR LG POWERCOMM","<a href=\"/cgi-bin/aspop?c=KR\">KR</a>",7153930,14.05,0.1731,1044871
106,"AS24432","AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212","<a href=\"/cgi-bin/aspop?c=BD\">BD</a>",7013563,21.29,0.1698,2111208
107,"AS26615","TIM S/A","<a href=\"/cgi-bin/aspop?c=BR\">BR</a>",6947645,4.28,0.1682,980315
108,"AS4847","CNIX-AP China Networks Inter-Exchange","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",6922429,0.84,0.1675,64397
109,"AS17622","CNCGROUP-GZ China Unicom Guangzhou network","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",6857179,0.83,0.1660,63790
110,"AS6805","TDDE-ASN1","<a href=\"/cgi-bin/aspop?c=DE\">DE</a>",6833365,9.66,0.1654,545535
111,"AS28548","Cablevision, S.A. de C.V.","<a href=\"/cgi-bin/aspop?c=MX\">MX</a>",6760572,7.49,0.1636,901959
112,"AS36998","SDN-MOBITEL","<a href=\"/cgi-bin/aspop?c=SD\">SD</a>",6747164,44.07,0.1633,258088
113,"AS59257","CMPAKLIMITED-AS-AP CMPak Limited","<a href=\"/cgi-bin/aspop?c=PK\">PK</a>",6711640,18.60,0.1624,1526303
114,"AS136255","TIMCL-AS-AP Telecom International Myanmar Co., Ltd","<a href=\"/cgi-bin/aspop?c=MM\">MM</a>",6673638,31.58,0.1615,466091
115,"AS577","BACOM","<a href=\"/cgi-bin/aspop?c=CA\">CA</a>",6661968,18.41,0.1612,633536
116,"AS29256","INT-PDN-STE-AS STE PDN Internal AS","<a href=\"/cgi-bin/aspop?c=SY\">SY</a>",6656257,100.00,0.1611,783705
117,"AS10796","TWC-10796-MIDWEST","<a href=\"/cgi-bin/aspop?c=US\">US</a>",6653410,2.66,0.1610,1120386
118,"AS27725","Empresa de Telecomunicaciones de Cuba, S.A.","<a href=\"/cgi-bin/aspop?c=CU\">CU</a>",6650775,99.39,0.1610,28629
119,"AS45629","JASTEL-NETWORK-TH-AP JasTel Network International Gateway","<a href=\"/cgi-bin/aspop?c=TH\">TH</a>",6577621,14.84,0.1592,810783
120,"AS209","CENTURYLINK-US-LEGACY-QWEST","<a href=\"/cgi-bin/aspop?c=US\">US</a>",6559273,2.62,0.1588,1104534
121,"AS6830","LGI-UPC formerly known as UPC Broadband Holding B.V.","<a href=\"/cgi-bin/aspop?c=DE\">DE</a>",6553121,9.27,0.1586,523162
122,"AS22085","Claro S/A","<a href=\"/cgi-bin/aspop?c=BR\">BR</a>",6530799,4.03,0.1581,921498
123,"AS18004","WIRELESSNET-ID PT WIRELESS INDONESIA ( WIN )","<a href=\"/cgi-bin/aspop?c=ID\">ID</a>",6387572,5.58,0.1546,1524547
124,"AS28403","RadioMovil Dipsa, S.A. de C.V.","<a href=\"/cgi-bin/aspop?c=MX\">MX</a>",6234678,6.91,0.1509,831797
125,"AS8708","RCS-RDS 73-75 Dr. Staicovici","<a href=\"/cgi-bin/aspop?c=RO\">RO</a>",6168521,45.52,0.1493,1188658
126,"AS27699","TELEFONICA BRASIL S.A","<a href=\"/cgi-bin/aspop?c=BR\">BR</a>",6085322,3.75,0.1473,858641
127,"AS20001","TWC-20001-PACWEST","<a href=\"/cgi-bin/aspop?c=US\">US</a>",6060130,2.42,0.1467,1020482
128,"AS6167","CELLCO-PART","<a href=\"/cgi-bin/aspop?c=US\">US</a>",6022397,2.41,0.1458,1014128
129,"AS9121","TTNET","<a href=\"/cgi-bin/aspop?c=TR\">TR</a>",5889597,9.39,0.1425,1845918
130,"AS18881","TELEFONICA BRASIL S.A","<a href=\"/cgi-bin/aspop?c=BR\">BR</a>",5852396,3.61,0.1416,825775
131,"AS5713","SAIX-NET","<a href=\"/cgi-bin/aspop?c=ZA\">ZA</a>",5702424,16.07,0.1380,217620
132,"AS29571","ORANGE-COTE-IVOIRE","<a href=\"/cgi-bin/aspop?c=CI\">CI</a>",5658742,44.45,0.1370,280395
133,"AS37075","ZAINUGAS","<a href=\"/cgi-bin/aspop?c=UG\">UG</a>",5589177,43.65,0.1353,87085
134,"AS15895","KSNET-AS","<a href=\"/cgi-bin/aspop?c=UA\">UA</a>",5479907,19.59,0.1326,1689517
135,"AS33771","SAFARICOM-LIMITED","<a href=\"/cgi-bin/aspop?c=KE\">KE</a>",5440108,52.86,0.1317,886166
136,"AS9198","KAZTELECOM-AS","<a href=\"/cgi-bin/aspop?c=KZ\">KZ</a>",5390601,35.65,0.1305,1154948
137,"AS12430","VODAFONE_ES","<a href=\"/cgi-bin/aspop?c=ES\">ES</a>",5377327,12.76,0.1301,832598
138,"AS327712","ATM","<a href=\"/cgi-bin/aspop?c=DZ\">DZ</a>",5307627,21.74,0.1285,1714271
139,"AS9534","MAXIS-AS1-AP Binariang Berhad","<a href=\"/cgi-bin/aspop?c=MY\">MY</a>",5302942,19.09,0.1283,1160837
140,"AS132061","REALMOVE-AS-AP Realmove Company Limited","<a href=\"/cgi-bin/aspop?c=TH\">TH</a>",5286748,11.93,0.1280,651665
141,"AS812","ROGERS-COMMUNICATIONS","<a href=\"/cgi-bin/aspop?c=CA\">CA</a>",5278871,14.59,0.1278,502007
142,"AS17421","EMOME-NET Mobile Business Group","<a href=\"/cgi-bin/aspop?c=TW\">TW</a>",5186964,20.10,0.1255,1138389
143,"AS24378","ENGTAC-AS-TH-AP Total Access Communication PLC.","<a href=\"/cgi-bin/aspop?c=TH\">TH</a>",5164011,11.65,0.1250,636536
144,"AS3816","COLOMBIA TELECOMUNICACIONES S.A. ESP","<a href=\"/cgi-bin/aspop?c=CO\">CO</a>",5017557,14.46,0.1214,980320
145,"AS6400","Compania Dominicana de Telefonos S. A.","<a href=\"/cgi-bin/aspop?c=DO\">DO</a>",4968506,63.94,0.1203,1250490
146,"AS1136","KPN KPN National","<a href=\"/cgi-bin/aspop?c=NL\">NL</a>",4957379,30.26,0.1200,542215
147,"AS20294","MTN-","<a href=\"/cgi-bin/aspop?c=UG\">UG</a>",4933828,38.53,0.1194,76874
148,"AS29975","VODACOM-","<a href=\"/cgi-bin/aspop?c=ZA\">ZA</a>",4932903,13.90,0.1194,188253
149,"AS8346","SONATEL-AS Autonomous System","<a href=\"/cgi-bin/aspop?c=SN\">SN</a>",4787574,79.04,0.1159,988295
150,"AS15704","AS15704","<a href=\"/cgi-bin/aspop?c=ES\">ES</a>",4779826,11.34,0.1157,740084
151,"AS8167","Brasil Telecom S/A - Filial Distrito Federal","<a href=\"/cgi-bin/aspop?c=BR\">BR</a>",4764071,2.94,0.1153,672212
152,"AS36992","ETISALAT-MISR","<a href=\"/cgi-bin/aspop?c=EG\">EG</a>",4631628,8.85,0.1121,907026
153,"AS9988","MPT-AP Myanma Posts and Telecommunications","<a href=\"/cgi-bin/aspop?c=MM\">MM</a>",4619962,21.86,0.1118,322661
154,"AS37457","Telkom-Internet","<a href=\"/cgi-bin/aspop?c=ZA\">ZA</a>",4614792,13.01,0.1117,176113
155,"AS6128","CABLE-NET-1","<a href=\"/cgi-bin/aspop?c=US\">US</a>",4587466,1.83,0.1110,772496
156,"AS16637","MTNNS-AS","<a href=\"/cgi-bin/aspop?c=ZA\">ZA</a>",4574517,12.89,0.1107,174576
157,"AS33363","BHN-33363","<a href=\"/cgi-bin/aspop?c=US\">US</a>",4543657,1.82,0.1100,765119
158,"AS9824","JTCL-JP-AS Jupiter Telecommunication Co. Ltd","<a href=\"/cgi-bin/aspop?c=JP\">JP</a>",4515674,3.99,0.1093,372247
159,"AS36925","ASMedi","<a href=\"/cgi-bin/aspop?c=MA\">MA</a>",4507079,18.40,0.1091,582181
160,"AS5432","BELGACOM-SKYNET-AS","<a href=\"/cgi-bin/aspop?c=BE\">BE</a>",4478443,43.02,0.1084,361427
161,"AS12252","America Movil Peru S.A.C.","<a href=\"/cgi-bin/aspop?c=PE\">PE</a>",4475365,24.75,0.1083,792321
162,"AS852","ASN852","<a href=\"/cgi-bin/aspop?c=CA\">CA</a>",4412223,12.19,0.1068,419591
163,"AS14061","DIGITALOCEAN-ASN","<a href=\"/cgi-bin/aspop?c=US\">US</a>",4369956,1.75,0.1058,735869
164,"AS9644","SKTELECOM-NET-AS SK Telecom","<a href=\"/cgi-bin/aspop?c=KR\">KR</a>",4367339,8.58,0.1057,637874
165,"AS33779","wataniya-telecom-as","<a href=\"/cgi-bin/aspop?c=DZ\">DZ</a>",4291650,17.58,0.1039,1386128
166,"AS31133","MF-MGSM-AS PJSC MegaFon","<a href=\"/cgi-bin/aspop?c=RU\">RU</a>",4272737,3.62,0.1034,646833
167,"AS18001","DIALOG-AS Dialog Axiata PLC.","<a href=\"/cgi-bin/aspop?c=LK\">LK</a>",4259229,53.04,0.1031,1136662
168,"AS24835","RAYA-AS","<a href=\"/cgi-bin/aspop?c=EG\">EG</a>",4256600,8.13,0.1030,833583
169,"AS11427","TWC-11427-TEXAS","<a href=\"/cgi-bin/aspop?c=US\">US</a>",4179705,1.67,0.1012,703832
170,"AS15706","Sudatel","<a href=\"/cgi-bin/aspop?c=SD\">SD</a>",4155568,27.14,0.1006,158956
171,"AS36972","MTN","<a href=\"/cgi-bin/aspop?c=SD\">SD</a>",4143986,27.07,0.1003,158513
172,"AS12576","EE Ltd","<a href=\"/cgi-bin/aspop?c=GB\">GB</a>",4123983,6.32,0.0998,379281
173,"AS23969","TOT-NET TOT Public Company Limited","<a href=\"/cgi-bin/aspop?c=TH\">TH</a>",4123033,9.30,0.0998,508221
174,"AS27747","Telecentro S.A.","<a href=\"/cgi-bin/aspop?c=AR\">AR</a>",4120550,11.01,0.0997,946218
175,"AS33915","TNF-AS","<a href=\"/cgi-bin/aspop?c=NL\">NL</a>",4117665,25.14,0.0997,450371
176,"AS14754","Telgua","<a href=\"/cgi-bin/aspop?c=GT\">GT</a>",4113486,45.21,0.0996,442660
177,"AS20978","TT_MOBIL Istanbul","<a href=\"/cgi-bin/aspop?c=TR\">TR</a>",4105646,6.54,0.0994,1286792
178,"AS136200","CHINANET-GUANGDONG-FOSHAN-MAN CHINANET Guangdong province Foshan MAN network","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",4086681,0.50,0.0989,38017
179,"AS13489","EPM Telecomunicaciones S.A. E.S.P.","<a href=\"/cgi-bin/aspop?c=CO\">CO</a>",4084314,11.77,0.0989,797985
180,"AS36935","Vodafone-","<a href=\"/cgi-bin/aspop?c=EG\">EG</a>",4074501,7.79,0.0986,797922
181,"AS201767","UZMOBILE-AS Nukus str. 22A, Tashkent 100100, Uzbekistan","<a href=\"/cgi-bin/aspop?c=UZ\">UZ</a>",4057195,19.98,0.0982,285152
182,"AS17511","OPTAGE OPTAGE Inc.","<a href=\"/cgi-bin/aspop?c=JP\">JP</a>",4056133,3.58,0.0982,334365
183,"AS12874","FASTWEB","<a href=\"/cgi-bin/aspop?c=IT\">IT</a>",4028853,10.56,0.0975,815653
184,"AS8374","PLUSNET Plus network operator in Poland","<a href=\"/cgi-bin/aspop?c=PL\">PL</a>",4017132,12.95,0.0972,693535
185,"AS11426","TWC-11426-CAROLINAS","<a href=\"/cgi-bin/aspop?c=US\">US</a>",4016610,1.61,0.0972,676368
186,"AS4804","MPX-AS Microplex PTY LTD","<a href=\"/cgi-bin/aspop?c=AU\">AU</a>",4009351,17.96,0.0970,282349
187,"AS37020","CELTEL-DRC","<a href=\"/cgi-bin/aspop?c=CD\">CD</a>",4002823,35.43,0.0969,50930
188,"AS43766","MTC-KSA-AS","<a href=\"/cgi-bin/aspop?c=SA\">SA</a>",3922196,12.10,0.0949,492918
189,"AS6327","SHAW","<a href=\"/cgi-bin/aspop?c=CA\">CA</a>",3920064,10.83,0.0949,372788
190,"AS7418","TELEFONICA CHILE S.A.","<a href=\"/cgi-bin/aspop?c=CL\">CL</a>",3904613,23.90,0.0945,525896
191,"AS10318","Telecom Argentina S.A.","<a href=\"/cgi-bin/aspop?c=AR\">AR</a>",3894376,10.40,0.0943,894281
192,"AS4818","DIGIIX-AP DiGi Telecommunications Sdn. Bhd.","<a href=\"/cgi-bin/aspop?c=MY\">MY</a>",3880869,13.97,0.0939,849539
193,"AS8386","KOCNET","<a href=\"/cgi-bin/aspop?c=TR\">TR</a>",3874292,6.17,0.0938,1214281
194,"AS24158","TAIWANMOBILE-AS Taiwan Mobile Co., Ltd.","<a href=\"/cgi-bin/aspop?c=TW\">TW</a>",3871916,15.00,0.0937,849774
